10000 100000
1 700 61
1 1451 59
1 2707 4
1 3568 47
1 5804 66
1 6649 66
1 7170 5
1 7435 45
1 7691 5
1 9305 30
2 247 30
2 1410 44
2 1471 44
2 4659 54
2 5919 56
2 6796 14
2 6839 5
2 8417 18
2 8424 68
2 8739 39
2 9947 52
3 917 28
3 1426 7
3 4164 7
3 4733 38
3 5018 61
3 6494 3
3 6960 64
3 7420 11
3 8439 42
3 8559 5
3 9162 42
4 1299 32
4 2789 8
4 3001 59
4 3133 28
4 3716 44
4 6258 63
4 8766 43
5 684 48
5 1640 63
5 1749 4
5 2093 62
5 2210 37
5 2734 57
5 3269 48
5 3653 21
5 4245 32
5 5681 37
5 5963 19
5 6413 1
5 6722 59
5 9122 46
5 9727 8
6 202 66
6 218 54
6 1295 39
6 1388 39
6 1533 48
6 2281 49
6 2985 51
6 3737 52
6 4090 61
6 5130 53
6 6158 31
6 6329 50
6 7407 52
6 7623 5
6 9470 14
7 2917 25
7 3280 24
7 4455 7
7 4508 28
7 5961 16
7 7257 15
7 7510 55
7 7707 35
8 572 35
8 1073 18
8 1115 42
8 2088 54
8 3780 58
8 3916 31
8 4763 30
8 5223 36
8 5659 67
8 6158 55
8 7708 46
8 7779 7
8 7981 33
8 8127 25
8 8882 58
8 9514 56
9 992 57
9 2631 41
9 5522 57
9 8313 37
10 114 23
10 2797 32
10 2886 51
10 3092 19
10 4519 55
10 9299 28
11 49 17
11 439 42
11 2227 42
11 3335 3
11 3509 7
11 3597 8
11 5451 60
11 7976 48
12 484 61
12 702 19
12 2484 49
12 3998 61
12 4471 26
12 5030 18
12 5228 46
12 6317 2
12 6932 24
12 8876 50
13 733 66
13 1094 52
13 1586 7
13 2133 53
13 3268 64
13 4175 63
13 4901 61
13 4979 57
13 5337 25
13 6697 42
13 6817 6
13 9743 51
14 1738 40
14 3619 23
14 5590 23
14 6555 13
14 7427 65
14 7491 69
14 8704 60
14 9712 26
15 681 18
15 3278 22
15 3664 44
15 4069 37
15 5349 13
15 5701 40
15 5975 54
15 7458 30
15 8490 41
15 9456 49
16 899 10
16 5124 9
16 6388 31
16 8150 56
16 8605 61
16 9165 65
16 9884 49
17 489 52
17 1110 53
17 1447 44
17 2182 64
17 3544 29
17 3933 65
17 5405 35
17 6178 51
17 7973 18
17 7988 18
17 8070 17
17 9591 17
18 1342 8
18 2170 13
18 6477 5
18 6837 29
18 8076 57
18 9168 42
18 9281 12
18 9830 67
18 9848 26
19 3069 41
19 4387 39
19 4463 5
19 8227 21
20 1050 18
20 1079 7
20 1874 7
20 3124 9
20 3627 42
20 4528 26
20 4890 32
20 5189 25
20 5192 41
20 6548 66
20 9690 25
21 2565 36
21 2707 31
21 3324 46
21 3484 25
21 3743 19
21 4776 63
21 5876 41
21 7455 26
21 7530 6
21 7651 17
22 578 25
22 3389 33
22 3890 58
22 5620 37
22 6496 31
22 7878 14
22 9060 48
22 9324 40
23 479 59
