8000 18000
1 1621 757
1 3416 15474
1 4990 15248
1 7481 74
2 1658 433
2 2184 4785
2 2620 10024
2 3867 16087
2 6759 5998
2 7316 1016
3 4283 9131
3 4324 16780
4 304 2323
4 1936 13717
4 3062 11766
4 3239 16656
4 3776 5023
4 4789 15115
4 4896 10942
4 6312 1175
4 7596 446
5 367 10598
5 3686 10476
5 4768 4186
5 6561 753
6 3161 6386
6 4640 15827
6 7349 17676
7 3043 4859
7 4664 15697
7 4805 15887
7 7055 4202
7 7640 8305
8 4814 8656
8 6715 301
8 6736 16232
9 1112 8406
9 2065 8847
9 4163 6209
9 6757 2908
9 6842 1778
10 4678 14260
10 6164 14072
10 6344 10395
10 7610 14991
10 7922 15320
11 2054 12939
11 7130 4086
12 3775 11451
13 1669 4244
13 3940 16545
13 7816 11319
14 436 16190
14 7883 14117
15 3187 12734
15 4063 10711
15 4983 6660
15 6265 5262
15 7645 9680
15 7928 13463
16 1292 12946
16 5122 16426
16 7304 16129
17 463 5259
17 1115 7394
17 4030 14939
18 1703 2066
18 3985 14825
18 5864 14332
18 6287 17890
19 230 2082
19 361 8129
19 636 8154
19 4211 6031
19 6066 268
19 6881 5251
19 7748 5347
20 972 15371
20 1535 5130
20 3133 11450
20 4494 11137
20 4824 4734
20 6303 16122
20 7009 2097
20 7514 1111
21 2388 12333
21 3559 9258
21 4296 12728
22 27 2403
22 678 3382
22 2604 14154
22 5680 16737
22 7089 13341
22 7625 5935
23 1638 1248
23 1644 17352
23 2908 12235
24 4639 6342
24 5689 16401
24 6671 10508
25 189 11518
25 2863 8296
26 1649 1173
26 4388 15151
26 6639 13676
26 7753 15614
27 966 7490
27 1819 15891
27 1934 6408
27 5284 15640
27 6478 3865
27 7267 5068
28 2465 4503
28 4344 15004
28 6066 2
28 7425 13743
29 1003 7219
29 1450 3916
29 1879 10635
29 4700 11375
29 4745 8343
29 6907 12280
29 7470 4607
30 1280 10162
30 1744 6853
30 2320 11336
30 2816 13517
30 3197 15996
30 4024 9500
30 6388 17486
31 1886 14042
31 3594 16430
31 6928 17993
31 7785 11429
32 258 12226
32 2506 14736
32 2823 7806
32 3441 5628
32 3938 4506
32 3991 14352
32 6749 17782
33 5872 8685
33 7680 14282
33 7773 3161
33 7890 15208
34 4081 15094
34 4569 8498
34 5305 3755
34 5430 11093
35 652 12395
35 2119 8889
35 5363 6052
35 7069 10671
35 7791 8551
35 7885 852
36 1188 1836
36 1823 16366
36 6291 5840
36 7530 1968
37 1198 11936
37 2552 15093
37 3683 1169
38 2718 10125
38 2874 15707
38 2919 10698
38 3048 10580
38 7453 3103
39 901 15742
39 1214 16049
39 5657 9259
39 6058 16106
40 1325 15216
40 7400 15653
41 1748 17877
41 2029 15649
41 2989 7443
41 4962 12452
42 821 6530
42 2008 7030
42 3233 7133
42 4674 14368
42 5889 5431
43 554 3978
43 1002 4357
43 7181 598
43 7641 9815
44 4653 5087
44 4821 7795
44 5307 16277
45 2553 4702
45 4347 3833
45 6226 13771
45 6474 7073
46 783 6172
46 903 6708
46 2002 11987
46 5720 203
46 7917 7015
47 331 15033
47 675 4300
47 1468 9775
47 1534 11871
47 1885 13168
47 4500 10447
47 4533 17349
47 7593 13688
48 3547 8196
48 5802 1421
48 6871 6988
48 7042 10340
48 7290 9347
49 1539 15594
49 2574 17129
49 5398 17021
50 2787 3426
50 4297 4884
50 4767 9513
50 5504 9585
50 7325 9053
51 133 6968
51 2789 3849
51 5913 12986
51 7974 17593
52 1559 14074
52 2364 8631
52 4552 15668
52 5912 687
52 6533 17161
52 6572 5821
53 2263 6517
53 2815 2874
53 3203 13720
53 4314 5902
54 160 12274
55 440 8325
55 4860 12733
55 5021 8663
56 412 16258
56 1604 15137
56 2070 5365
56 2110 3541
56 6749 5071
57 678 10651
57 1430 13169
57 6618 15643
58 2697 2719
58 2794 1300
58 2942 14927
58 4467 13923
58 6681 11422
59 2677 3750
59 6192 6579
60 1623 4528
60 4860 9137
60 4865 12666
60 6244 6895
60 7031 4797
60 7182 13064
61 3148 12994
61 3921 5997
61 7120 7963
62 398 9974
62 4434 170
62 5230 3616
62 7747 9891
63 4984 11001
63 6637 11948
63 7925 13485
64 3786 7697
64 4202 13470
64 4896 8223
64 5862 4435
64 6347 4184
64 6843 8588
64 7019 689
64 7284 11557
65 1435 3970
65 3750 10982
65 5560 1736
65 6810 1482
66 1769 15989
66 3266 8477
66 4425 17340
66 5196 13114
66 5662 8384
67 5099 11685
68 2002 14459
68 2296 16045
68 5618 2135
69 189 2011
69 236 10230
69 2377 1395
70 1407 6938
70 2397 1753
70 3780 17654
70 5715 5337
71 861 9350
71 1761 8749
71 3187 10512
71 4273 5475
71 5197 13332
71 6867 5260
72 352 11333
72 1801 5062
72 2506 10081
72 3864 15748
72 7395 1470
73 3621 10207
73 7030 1604
73 7490 17821
74 450 14846
74 1040 9355
74 2405 12097
75 561 5970
75 2971 3982
75 3846 16582
75 5592 16101
75 6334 15043
75 7516 9836
76 750 13247
76 5179 9629
76 6161 9511
76 6193 17501
76 6826 13952
77 1467 14010
77 3425 745
77 6830 16846
78 760 9271
78 6080 16824
78 6860 9913
79 114 55
79 2779 2920
79 3262 12045
79 3295 9580
79 3768 13740
79 5576 506
80 535 14727
80 3698 2222
80 5645 11958
80 5798 15308
80 6945 3537
80 7168 6862
81 1059 2348
81 2373 15080
81 4524 1015
81 6232 12526
82 233 4423
82 1135 13552
82 1182 1271
82 2320 6220
82 3324 10109
82 4062 6717
82 4362 9342
82 4384 4786
82 6466 17413
83 466 14132
83 4123 7770
83 6153 3039
83 6647 12012
84 766 10014
84 1626 733
84 1778 9595
84 3079 4578
85 2286 15841
85 2586 2727
85 2761 8460
85 6230 3775
86 2136 2898
86 3029 14512
86 6460 2101
87 1047 1733
87 6347 12615
87 6447 3922
88 1956 15463
88 2667 9205
88 4933 14037
88 5647 13002
88 7592 12636
89 1371 9714
89 2363 3278
89 2598 10192
90 789 13285
90 1362 6460
90 4195 13724
90 4766 12507
91 484 1031
91 3753 5991
91 7456 13063
92 1593 9547
92 4586 6494
93 1393 4444
93 2155 4934
93 2198 9094
93 2572 3392
93 5083 10554
93 5639 1854
93 6349 2051
93 6601 8878
94 3886 6518
94 5821 9413
94 6325 7585
94 6327 9665
95 133 9983
95 2103 7956
95 3518 13560
95 5461 3772
96 1122 3717
96 1361 868
96 3630 13398
96 5809 10644
96 7057 7336
97 240 13351
97 1619 14817
97 2261 12483
97 3576 15957
97 3721 17137
97 3859 4043
97 5537 7108
97 6442 8882
97 6851 5522
97 6903 2069
98 407 16583
98 2110 17653
98 3577 14982
98 5222 448
98 5442 3562
98 7575 16584
98 7682 9071
99 2333 1799
99 2414 2495
99 5001 14468
99 7642 2855
100 309 3613
100 2301 11099
100 4690 12917
100 5836 857
100 5956 7342
100 6615 1014
100 7452 15850
100 7962 13166
101 204 15335
101 1625 13762
101 5806 12523
101 7378 11632
102 1759 1562
102 2375 8799
102 3208 17339
102 3778 15021
102 3971 11844
102 4264 5572
102 4989 14981
102 5267 11463
102 7341 7574
103 1558 14524
103 4491 1124
103 5496 10451
103 7901 15347
104 4530 7560
104 4840 15488
104 6102 14788
104 6608 2257
104 7859 968
105 891 13272
105 3070 15194
105 5024 15277
105 5073 12422
105 6640 14108
106 569 12020
106 693 13961
106 1625 11733
106 4233 13686
106 7304 10524
107 682 2064
107 2466 14913
107 3257 7682
107 6148 11295
107 6792 5176
107 6817 4540
108 1837 7598
108 2052 11735
108 2753 3496
108 4014 3185
109 4293 1366
109 4312 16368
109 6046 4318
109 7251 17924
110 435 15877
110 1867 5125
110 2495 3341
110 3440 11772
110 6553 16819
111 581 2315
111 667 9301
111 2705 17251
111 3034 14827
111 4730 1571
111 5595 3442
112 232 8468
112 1463 1976
112 2479 16727
112 7110 10493
113 130 8183
113 183 12329
113 654 3660
113 1844 15057
113 2565 2645
113 2711 11897
113 7722 7587
114 306 4851
114 310 17541
114 2896 10574
114 3164 10541
114 3382 8094
114 5235 4419
114 7229 9178
115 3111 13883
116 1989 7577
116 2442 1007
116 3360 5824
116 4722 15934
117 2235 5315
117 3664 1901
117 3877 14088
117 4984 10841
117 7585 13099
117 7632 14951
118 3768 5781
118 4942 12032
119 2062 17387
119 3191 12617
119 3800 13438
119 3952 15365
119 6429 8616
120 374 17630
120 1847 85
120 5212 16871
120 6191 3958
120 6460 17248
121 1029 9024
121 3327 15438
121 4370 8575
121 6160 4410
122 1779 2563
122 4758 5279
122 7460 10133
122 7540 11790
123 2806 13881
123 4931 9825
123 7828 7318
124 1468 7649
124 3165 13478
124 5305 1527
125 557 1433
125 2264 10605
125 3292 15039
125 4964 17463
125 5209 17776
125 5573 6364
125 5578 11365
125 5791 13306
125 6013 8280
125 7532 14962
126 455 5850
126 1497 14143
126 4826 1885
126 5059 17872
126 5287 15914
