150 11175
1 2 2099
1 3 10245
1 4 4625
1 5 9429
1 6 5240
1 7 6398
1 8 10716
1 9 6189
1 10 3643
1 11 6814
1 12 4353
1 13 5757
1 14 6162
1 15 7818
1 16 1153
1 17 506
1 18 9000
1 19 5149
1 20 4317
1 21 277
1 22 5589
1 23 5507
1 24 1224
1 25 1561
1 26 10905
1 27 4827
1 28 4919
1 29 2787
1 30 7096
1 31 10713
1 32 6618
1 33 5701
1 34 4243
1 35 111
1 36 7598
1 37 8732
1 38 2262
1 39 10542
1 40 275
1 41 4460
1 42 7953
1 43 1957
1 44 9685
1 45 2083
1 46 9891
1 47 7669
1 48 7493
1 49 4320
1 50 9457
1 51 1332
1 52 2418
1 53 3568
1 54 7943
1 55 7180
1 56 9832
1 57 531
1 58 9660
1 59 6085
1 60 3137
1 61 7299
1 62 2412
1 63 6264
1 64 9015
1 65 9522
1 66 3285
1 67 5192
1 68 9966
1 69 3761
1 70 6755
1 71 4154
1 72 8425
1 73 10852
1 74 11109
1 75 7033
1 76 2292
1 77 4272
1 78 2349
1 79 384
1 80 8200
1 81 6703
1 82 2908
1 83 6994
1 84 6884
1 85 6717
1 86 9680
1 87 6593
1 88 508
1 89 5242
1 90 10855
1 91 6751
1 92 3227
1 93 253
1 94 3184
1 95 1662
1 96 3454
1 97 10926
1 98 8702
1 99 4104
1 100 5455
1 101 4884
1 102 419
1 103 640
1 104 2208
1 105 1892
1 106 7877
1 107 10370
1 108 2203
1 109 2429
1 110 5732
1 111 3800
1 112 8118
1 113 0
1 114 162
1 115 7533
1 116 1620
1 117 7790
1 118 214
1 119 2059
1 120 3894
1 121 10057
1 122 6357
1 123 1730
1 124 1564
1 125 7956
1 126 3661
1 127 9549
1 128 6766
1 129 7508
1 130 10252
1 131 4691
1 132 10061
1 133 5030
1 134 1438
1 135 8642
1 136 10037
1 137 9511
1 138 10849
1 139 1879
1 140 636
1 141 10487
1 142 2457
1 143 18
1 144 1450
1 145 7654
1 146 342
1 147 2522
1 148 5157
1 149 3911
1 150 4532
2 3 7236
2 4 2769
2 5 9510
2 6 9415
2 7 8196
2 8 7400
2 9 4119
2 10 7648
2 11 4683
2 12 3765
2 13 7614
2 14 9593
2 15 2319
2 16 5435
2 17 7886
2 18 8410
2 19 1577
2 20 4792
2 21 1667
2 22 281
2 23 3671
2 24 2825
2 25 2754
2 26 6637
2 27 8823
2 28 11118
2 29 7728
2 30 539
2 31 1943
2 32 2509
2 33 10676
2 34 6984
2 35 8173
2 36 2638
2 37 7555
2 38 2451
2 39 929
2 40 6304
2 41 1618
2 42 834
2 43 6405
2 44 7068
2 45 7085
2 46 3241
2 47 7206
2 48 8685
2 49 9926
2 50 4438
2 51 9939
2 52 4680
2 53 7041
2 54 2251
2 55 9845
2 56 10492
2 57 4958
2 58 8524
2 59 971
2 60 2102
2 61 11063
2 62 7685
2 63 2082
2 64 5679
2 65 2846
2 66 2327
2 67 2253
2 68 7771
2 69 10783
2 70 10883
2 71 10700
2 72 1212
2 73 3430
2 74 979
2 75 10049
2 76 9729
2 77 9359
2 78 5302
2 79 10787
2 80 5937
2 81 6903
2 82 6078
2 83 5463
2 84 2406
2 85 6149
2 86 2852
2 87 123
2 88 3201
2 89 2265
2 90 6109
2 91 3935
2 92 4735
2 93 7990
2 94 7517
2 95 8067
2 96 6038
2 97 2287
2 98 1030
2 99 9519
2 100 951
2 101 4524
2 102 5041
2 103 3744
2 104 11060
2 105 3573
2 106 8552
2 107 2750
2 108 5479
2 109 6738
2 110 2789
2 111 10
2 112 5407
2 113 9454
2 114 2473
2 115 9903
2 116 6048
2 117 7065
2 118 11126
2 119 7390
2 120 10862
2 121 4525
2 122 11132
2 123 2927
2 124 6097
2 125 3360
2 126 3194
2 127 10422
2 128 169
2 129 6265
2 130 10238
2 131 8814
2 132 2667
2 133 5496
2 134 9478
2 135 3090
2 136 10514
2 137 622
2 138 8897
2 139 152
2 140 9445
2 141 10701
2 142 4179
2 143 8567
2 144 9017
