10000 100000
1 656 47
1 1233 48
1 1606 24
1 2650 56
1 2729 12
1 3705 23
1 4140 56
1 4744 34
1 6058 7
1 6163 54
1 7256 58
1 7601 64
1 7651 41
1 7819 29
1 8228 10
1 9382 10
2 297 62
2 518 57
2 3919 66
2 6216 36
2 6233 34
2 8253 64
3 1 49
3 2062 65
3 2723 37
3 2919 41
3 3407 55
3 4305 10
3 6582 39
3 6943 4
3 6987 37
3 7350 16
3 7448 22
3 8031 60
3 9506 2
4 943 34
4 2893 54
4 3174 57
4 4973 38
4 6364 31
4 7850 42
4 8385 26
4 8551 25
4 9283 53
5 1654 54
5 2367 6
5 3336 62
5 3702 17
5 4089 33
5 4705 30
5 5070 52
5 7198 66
5 8466 64
5 9236 3
6 3058 32
6 4496 31
6 4617 14
6 7741 17
6 7802 11
7 760 52
7 3167 61
7 3453 47
7 4735 67
7 5087 13
7 5492 9
7 5713 39
7 6804 17
7 9096 33
7 9368 26
8 1806 55
8 2237 63
8 2345 38
8 5759 11
8 5919 18
8 6397 22
8 8428 36
8 9119 23
8 9857 54
9 6 52
9 1175 55
9 1873 54
9 2226 6
9 3235 22
9 3727 49
9 5638 8
9 6319 54
9 6790 50
9 7189 61
9 7808 1
9 8350 61
9 8389 14
9 8994 61
10 811 9
10 1169 51
10 2473 45
10 3529 17
10 4312 20
10 4545 61
10 4577 20
10 5068 16
10 5257 46
10 7179 13
11 808 54
11 2003 28
11 2153 2
11 3142 46
11 3587 63
11 4216 64
11 6761 1
11 7604 45
12 1211 21
12 1338 55
12 1532 50
12 1746 42
12 2630 34
12 2918 28
12 4570 66
12 5575 14
12 9270 59
13 3309 67
13 4656 45
13 5567 3
13 6718 29
13 6952 54
13 8026 53
13 8483 4
14 45 41
14 723 3
14 4566 65
14 4724 61
14 4731 19
14 6652 12
14 6790 44
14 7517 43
14 7896 39
14 8579 45
14 9319 59
15 393 32
15 829 11
15 1426 30
15 1890 48
15 3851 2
15 4065 15
15 4892 28
15 5053 43
15 5078 19
15 7091 27
15 7112 40
15 7817 4
15 7959 16
15 8147 8
15 8408 48
15 9274 59
16 569 7
16 2269 32
16 2657 42
16 6838 11
16 8476 4
16 8513 16
17 208 46
17 383 35
17 1648 34
17 2790 57
17 3301 9
17 3345 47
17 4239 27
17 4454 25
17 5100 7
17 6557 29
17 7002 35
17 9012 36
17 9077 7
17 9577 36
17 9611 51
18 3799 6
18 4203 49
18 5511 40
18 6809 3
18 7083 59
18 7685 43
18 8985 18
18 8991 37
19 223 62
19 1058 47
19 1645 44
19 2071 64
19 2609 20
19 2904 54
19 7337 38
19 7436 35
19 8926 1
20 298 3
20 398 39
20 2172 57
20 2177 12
20 2338 56
20 3182 54
20 3261 7
20 3354 62
20 3594 14
20 4378 12
20 4936 28
20 6438 60
20 7022 18
20 7124 49
20 7233 65
20 7804 66
20 7847 20
20 8525 67
20 8563 27
20 8957 33
21 596 56
21 1024 63
21 3964 65
21 5047 33
21 6490 8
21 6829 60
21 8760 23
22 3036 32
22 4123 28
22 4493 57
22 5361 32
22 5700 31
22 6539 66
22 7655 60
22 7897 13
22 8329 52
22 8455 44
22 9513 59
23 1766 44
23 2085 28
23 2530 1
23 3471 43
23 5276 19
23 6990 18
23 9552 22
23 9777 54
24 126 54
24 621 12
24 2787 52
24 3630 51
24 5871 16
24 6444 9
24 6612 45
24 6839 11
24 8549 12
24 9312 23
24 9525 1
25 521 35
25 1331 55
