300 44850
1 2 16040
1 3 8268
1 4 25922
1 5 942
1 6 35850
1 7 13747
1 8 26389
1 9 15304
1 10 3491
1 11 591
1 12 39558
1 13 31913
1 14 39201
1 15 23597
1 16 3039
1 17 44492
1 18 2160
1 19 19472
1 20 22914
1 21 28078
1 22 30134
1 23 19374
1 24 34667
1 25 22482
1 26 44533
1 27 38944
1 28 4242
1 29 30019
1 30 8225
1 31 40968
1 32 8501
1 33 41516
1 34 20239
1 35 18753
1 36 7039
1 37 34976
1 38 33979
1 39 10748
1 40 12585
1 41 25042
1 42 13628
1 43 30931
1 44 44135
1 45 32438
1 46 16472
1 47 1969
1 48 42136
1 49 15648
1 50 22071
1 51 38345
1 52 25618
1 53 31680
1 54 9264
1 55 39627
1 56 16423
1 57 22234
1 58 26221
1 59 41684
1 60 30361
1 61 1902
1 62 37805
1 63 24374
1 64 26915
1 65 7804
1 66 871
1 67 43620
1 68 24097
1 69 43300
1 70 2271
1 71 39976
1 72 22084
1 73 43579
1 74 28099
1 75 34362
1 76 40255
1 77 30220
1 78 29100
1 79 7765
1 80 8395
1 81 4517
1 82 34954
1 83 38672
1 84 44157
1 85 15735
1 86 23748
1 87 3359
1 88 32984
1 89 36926
1 90 7587
1 91 18033
1 92 22824
1 93 35015
1 94 18314
1 95 38323
1 96 22356
1 97 37087
1 98 24335
1 99 2423
1 100 22088
1 101 27381
1 102 8055
1 103 25471
1 104 43003
1 105 41664
1 106 19638
1 107 44504
1 108 721
1 109 22018
1 110 42929
1 111 23988
1 112 34575
1 113 36009
1 114 3814
1 115 39211
1 116 14270
1 117 35382
1 118 14640
1 119 30865
1 120 16707
1 121 43363
1 122 2074
1 123 39449
1 124 35993
1 125 5925
1 126 34807
1 127 28841
1 128 31788
1 129 21828
1 130 11277
1 131 4993
1 132 19727
1 133 11776
1 134 2826
1 135 40308
1 136 9895
1 137 12461
1 138 11342
1 139 8491
1 140 39665
1 141 659
1 142 6606
1 143 36287
1 144 23775
1 145 14303
1 146 15286
1 147 30973
1 148 29251
1 149 33927
1 150 25975
1 151 19102
1 152 29798
1 153 9502
1 154 42010
1 155 5943
1 156 38559
1 157 35632
1 158 31982
1 159 32974
1 160 31464
1 161 18851
1 162 117
1 163 32232
1 164 19331
1 165 14122
1 166 43585
1 167 32898
1 168 37139
1 169 9068
1 170 41345
1 171 23384
1 172 11616
1 173 23893
1 174 9532
1 175 38822
1 176 32247
1 177 39916
1 178 41380
1 179 18808
1 180 38521
1 181 10277
1 182 17327
1 183 6276
1 184 33739
1 185 13726
1 186 30124
1 187 16074
1 188 2649
1 189 18587
1 190 11884
1 191 42882
1 192 22007
1 193 7900
1 194 38067
1 195 23355
1 196 28505
1 197 8878
1 198 25230
1 199 11119
1 200 37381
1 201 44839
1 202 25595
1 203 20269
1 204 28492
1 205 15975
1 206 8050
1 207 11599
1 208 15635
1 209 14442
1 210 43265
1 211 31121
1 212 43676
1 213 7874
1 214 38582
1 215 16902
1 216 6660
1 217 29433
1 218 24750
1 219 25057
1 220 13473
1 221 29314
1 222 2270
1 223 9801
1 224 14328
1 225 41277
1 226 836
1 227 23149
1 228 40438
1 229 36788
1 230 705
1 231 41836
1 232 12944
1 233 22670
1 234 21864
1 235 14137
1 236 10365
1 237 23810
1 238 4343
1 239 16429
1 240 36669
1 241 7984
1 242 15822
1 243 12838
1 244 37850
1 245 18887
1 246 33036
1 247 34702
1 248 7126
1 249 37483
1 250 27327
1 251 35352
1 252 34138
1 253 7751
1 254 7886
1 255 11355
1 256 9270
1 257 6636
1 258 306
1 259 13476
1 260 30668
1 261 30006
1 262 12807
1 263 31877
1 264 23115
1 265 10425
1 266 3682
1 267 22736
1 268 33034
1 269 19956
1 270 30296
1 271 1085
1 272 23963
1 273 2217
1 274 30424
1 275 33729
1 276 30473
1 277 22451
1 278 44738
1 279 25389
1 280 21269
1 281 6968
1 282 28084
1 283 6313
1 284 319
1 285 35020
1 286 40181
1 287 14503
1 288 12164
1 289 19795
1 290 35720
1 291 34467
1 292 36579
1 293 25352
1 294 6514
1 295 18972
1 296 43886
1 297 39782
1 298 37488
1 299 9229
1 300 8536
2 3 38795
2 4 21900
2 5 35182
2 6 26260
2 7 39785
2 8 10569
2 9 13083
2 10 5770
2 11 33515
2 12 6012
2 13 37943
2 14 15251
2 15 12853
2 16 19951
2 17 22999
2 18 21305
2 19 19628
2 20 1670
2 21 38574
2 22 15059
2 23 25341
2 24 26200
2 25 29712
2 26 20136
2 27 21597
2 28 1217
2 29 18032
2 30 19445
2 31 7818
2 32 38578
2 33 5949
2 34 6655
2 35 12542
2 36 16164
2 37 36727
2 38 31684
2 39 23526
2 40 891
2 41 35040
2 42 34098
2 43 4625
2 44 16340
2 45 6935
2 46 26318
2 47 42889
2 48 40730
2 49 26323
2 50 31325
2 51 6521
2 52 16858
2 53 12162
2 54 25392
2 55 17824
2 56 37392
2 57 27174
2 58 41080
2 59 31802
2 60 30872
2 61 13849
2 62 40760
2 63 20557
2 64 19720
2 65 37729
2 66 19749
2 67 34858
2 68 3639
2 69 25728
2 70 11040
2 71 40081
2 72 24338
2 73 2763
2 74 8351
2 75 31159
2 76 11625
2 77 30411
2 78 13484
2 79 11753
2 80 14151
2 81 11552
2 82 43880
2 83 29009
2 84 13245
2 85 5657
2 86 20964
2 87 32840
2 88 43033
2 89 42218
2 90 25434
2 91 14377
2 92 12107
2 93 34309
2 94 42810
2 95 31536
2 96 10863
2 97 16440
2 98 4305
2 99 38976
2 100 9452
2 101 29262
2 102 6644
2 103 44844
2 104 13834
2 105 39016
2 106 32437
2 107 43115
2 108 26412
2 109 24168
2 110 20141
2 111 13595
2 112 38652
2 113 28081
2 114 7932
2 115 37021
2 116 39099
2 117 31932
2 118 8372
2 119 18605
2 120 6442
2 121 4917
2 122 20533
2 123 34184
2 124 19350
2 125 16517
2 126 16954
2 127 16170
2 128 28917
2 129 42560
2 130 31399
2 131 25153
2 132 43236
2 133 14543
2 134 23984
2 135 32724
2 136 13796
2 137 701
2 138 2739
2 139 33381
2 140 43728
2 141 9885
2 142 37244
2 143 9060
2 144 8857
2 145 5838
2 146 3574
2 147 23836
2 148 5509
2 149 39456
2 150 27459
2 151 37738
2 152 40301
2 153 27833
2 154 11482
2 155 44107
2 156 7196
2 157 32640
2 158 7678
2 159 19092
2 160 18613
2 161 35529
2 162 26608
2 163 35716
2 164 10760
2 165 6556
2 166 32868
2 167 32008
2 168 21658
2 169 13172
2 170 21189
2 171 9008
2 172 31875
2 173 36742
2 174 39052
2 175 11256
2 176 16714
2 177 4266
2 178 38772
2 179 15949
2 180 24519
2 181 31369
2 182 8411
2 183 608
2 184 40477
2 185 20854
2 186 5374
2 187 14115
2 188 9044
2 189 12918
2 190 10308
2 191 24856
2 192 33150
2 193 31567
2 194 8447
2 195 2677
2 196 2073
2 197 27967
2 198 14903
2 199 26306
2 200 30306
2 201 13963
2 202 24117
2 203 256
2 204 7855
2 205 16985
2 206 22982
2 207 31986
2 208 8841
2 209 15736
2 210 32080
2 211 24110
2 212 3933
2 213 9695
2 214 27274
2 215 17543
2 216 13857
2 217 33911
2 218 36738
2 219 29180
2 220 40313
2 221 16693
2 222 19627
2 223 33247
2 224 22954
2 225 43658
2 226 26045
2 227 12236
2 228 23666
2 229 1097
2 230 29693
2 231 12851
2 232 5753
2 233 43284
2 234 17773
2 235 3214
2 236 20115
2 237 10763
2 238 3095
2 239 23138
2 240 18985
2 241 7877
2 242 7603
2 243 44561
2 244 26259
2 245 7423
2 246 44629
2 247 21957
2 248 5434
2 249 16650
2 250 3476
2 251 23975
2 252 10140
2 253 43951
2 254 18187
2 255 7479
2 256 31791
2 257 32970
2 258 23024
2 259 41166
2 260 34073
2 261 29630
2 262 30847
2 263 6439
2 264 3931
2 265 43672
2 266 31413
2 267 9759
2 268 42537
2 269 398
2 270 9851
2 271 44014
2 272 5615
2 273 28559
2 274 4471
2 275 13031
2 276 28124
2 277 27201
2 278 38935
2 279 14196
2 280 5822
