10000 100000
1 691 38274
1 2043 36563
1 3769 43438
1 4874 98711
1 5146 6075
1 6569 119985
1 6861 70098
1 8667 30277
1 8950 7479
1 9288 81793
2 38 11245
2 1570 82148
2 1842 90172
2 4333 104563
2 5753 6740
2 7155 90488
2 7764 32818
2 8480 10149
3 1475 117506
3 1613 45509
3 2956 46987
3 3601 20791
3 3765 96484
3 6849 58401
3 8555 37239
3 9414 329
3 9909 53458
4 1020 59731
4 4048 19880
4 4413 60500
4 4578 70302
4 4599 94506
4 5057 97062
4 6655 30091
4 8294 109568
4 9242 103136
4 9840 30075
5 1360 59665
5 1446 49764
5 1820 73906
5 1821 57810
5 2309 97361
5 2553 36053
5 2570 64333
5 3447 81923
5 4255 42792
5 5313 34820
5 6113 31092
5 7135 89292
5 8000 68677
6 583 76600
6 1047 52631
6 1361 89467
6 1575 89435
6 1775 111031
6 1807 43057
6 2262 89763
6 2376 44488
6 3831 102788
6 3868 25995
6 4327 104987
6 4343 53089
6 4730 36852
6 7919 118400
6 8114 83180
6 8844 26419
6 8911 17888
6 9364 29606
6 9770 2435
7 441 67651
7 1652 103511
7 3993 96596
7 4045 45011
7 5698 55916
7 6254 40928
7 6831 43285
7 8409 15059
7 8449 112099
7 8692 74376
7 9622 20703
7 9762 60775
8 427 67328
8 3992 73333
8 4269 30241
8 5200 36762
8 5724 64363
8 5749 73298
8 5961 42877
8 6739 25202
8 6782 56085
8 7979 105223
8 9471 46541
8 9677 25525
9 366 22074
9 1902 44940
9 3086 108704
9 4190 84844
9 5304 62827
9 7053 54662
9 7402 3630
10 202 46830
10 2686 38172
10 3014 100226
10 5285 8192
10 5312 10439
10 5398 21153
10 6670 51477
10 7893 25498
10 8888 13252
10 8949 42204
11 1183 82552
11 2246 74026
11 3271 109531
11 5416 35884
11 5786 20619
11 7707 62645
12 433 16598
12 1272 93916
12 1535 105521
12 1989 41799
12 2267 66352
12 2349 7095
12 2524 88339
12 2717 91876
12 3266 65520
12 3317 49631
12 3462 116932
12 3566 66715
12 3869 28809
12 4268 51593
12 4840 70344
12 5207 75638
12 6075 6116
12 6457 86921
12 6482 182
12 6671 52907
12 6966 108074
12 8278 51658
13 615 78404
13 2452 37677
13 4028 93861
13 5382 77307
13 5544 28054
13 5768 119744
13 6365 113190
13 6732 48672
13 7599 62388
13 7638 9787
13 8907 58939
14 2746 84260
14 5065 51585
14 5566 5290
14 7166 91354
14 7643 56276
14 7843 13518
15 964 36873
15 1901 22258
15 1908 10449
15 2885 103587
15 3543 51066
15 4797 98393
15 6661 53930
15 6809 43056
15 7871 20860
15 8121 57203
15 8574 43237
15 9255 73766
15 9361 45276
16 1553 11246
16 2403 68521
16 3526 119304
16 3684 21458
16 6585 25827
16 6856 27357
16 7833 21201
16 8754 19016
17 497 112381
17 613 83588
17 868 65154
17 969 51319
17 1962 47847
17 2192 33091
17 2529 92961
17 2840 19200
17 2846 5718
17 4973 106478
17 5356 92424
17 5674 27975
17 7216 33278
17 8141 76010
17 8409 115392
17 9030 48022
17 9787 46292
18 654 38447
18 1024 68881
18 1754 103494
18 4374 118035
18 8271 58999
18 8391 65121
18 8609 9280
18 9940 7519
19 1560 64424
19 3490 30738
19 4737 69698
19 5079 8132
19 6095 51938
19 7460 88713
19 8921 512
20 710 51878
20 970 70219
20 1108 88183
20 1631 99724
20 3737 103309
20 5152 61143
20 5455 35276
20 6296 25378
20 8553 47620
20 8953 7699
21 559 53352
21 633 117249
21 707 61
21 2923 48743
21 4661 45270
21 5483 46352
21 6034 87190
21 6726 30502
21 7759 66197
22 2437 1576
22 5636 89500
22 5837 11317
22 7035 10856
22 7229 97019
22 7970 112092
22 8583 41593
23 1689 46716
23 3475 36575
23 3561 9882
23 3962 51780
23 4629 37087
23 7929 61759
24 670 38350
24 826 5269
24 1435 77835
24 2156 58010
24 2993 102763
24 4696 113110
24 4743 83387
24 5408 30382
24 8250 808
24 8383 16738
24 9214 63982
25 194 868
25 1362 65481
25 2097 109251
25 3142 83571
25 4970 69022
25 5433 19752
25 5580 29767
25 8228 106949
25 8288 25604
25 8602 77435
25 8748 117804
25 8960 2622
25 9510 69526
26 1286 75748
26 1291 85689
26 2226 106101
26 2704 85630
26 3274 53820
26 4271 59539
26 4412 63740
26 5005 92170
26 5841 101159
26 6121 21574
26 6153 30179
26 6911 83921
26 7242 14683
26 8880 113566
26 9839 30654
27 1713 51843
27 1923 46655
27 4822 94635
27 5465 89062
27 6360 28487
27 6420 237
27 7992 88985
28 593 13860
28 3818 19988
28 4447 118751
28 4889 809
28 6454 45591
28 6739 112538
28 6770 118612
29 3368 84564
29 5128 98415
29 5379 74360
29 9340 86604
30 251 867
30 4073 76341
30 4672 20424
30 7288 60405
30 8355 56432
30 8666 28945
30 8977 77915
31 497 78006
31 3317 59123
31 3452 41835
31 3728 9040
31 4481 89040
31 5652 108840
31 7871 97234
31 8930 52047
32 13 83474
32 141 66296
32 180 80533
32 343 83710
32 649 35280
32 865 94393
32 3626 20050
32 3836 70382
32 4289 95201
32 6276 101992
32 6573 62919
32 6629 10164
32 7107 102908
32 7212 41334
33 1607 875
33 2144 69511
33 3941 42200
33 3997 113567
33 4660 6286
33 4712 18957
33 6310 49999
33 7455 35230
33 8944 96871
33 9287 44356
34 56 10705
34 236 55058
34 395 53395
34 2467 16096
34 2532 80249
34 3093 30629
34 6471 68142
34 7157 43723
34 8318 13276
34 9226 28675
34 9805 43784
35 1752 84907
35 2489 39419
35 3397 100185
35 3644 35288
35 3645 50971
35 3915 118529
35 5953 14559
35 6163 61134
35 7340 101436
35 7414 92244
35 7666 98361
35 7786 87298
35 8074 50795
35 8747 91927
35 9541 93584
36 458 69751
36 1157 58277
36 1368 45165
36 2269 82974
36 2311 102632
36 2340 55869
36 3414 54383
36 7309 36027
37 117 71965
37 119 14631
37 413 103007
37 2058 20106
37 2460 94705
37 2547 32634
37 4404 85132
37 4560 54841
37 5283 117540
37 5443 4550
38 139 35025
38 1210 69179
38 1741 55520
38 1982 69905
38 2288 83737
38 2589 33006
38 6444 51340
38 7695 92332
38 7766 11366
