10000 99999
9242 1198 93234
6225 2209 12955
1039 6585 83056
8657 3651 58212
3946 8258 7447
377 9550 50112
7976 4327 46977
3344 4178 1941
3386 8914 11937
9102 4556 26863
9785 1799 1494
6252 2524 58671
5012 9130 97427
3673 234 89223
7570 537 65879
629 3768 16687
9850 5066 19006
7968 8850 85869
528 1513 32331
1391 1768 75495
9130 66 73180
3738 1092 55627
8485 8446 6651
8351 9151 84789
6508 9062 38239
2414 8617 62081
1086 6262 40887
3125 9507 5378
9573 7094 71603
1976 136 63135
5849 5917 45732
5835 5519 80964
2652 2148 24774
4103 6401 63577
7010 7720 67041
8168 1344 60442
6379 2943 78811
3126 8829 60824
6183 4095 75346
6412 4277 62595
8508 4782 55616
6286 1588 85853
1642 6456 2816
8202 4126 69652
2630 9448 98048
6867 3545 57814
3626 2502 82515
4767 3259 1338
5915 2137 73526
871 2110 77673
8771 7283 85215
6567 9619 80961
1684 4618 93270
3311 7661 35706
2148 205 9831
3096 3320 65674
2411 9356 33909
4411 3174 69245
895 2266 74936
6415 1035 66017
6418 1596 42494
7541 5427 9939
4937 1761 21518
4163 5028 81475
2459 9018 87109
7371 714 9327
7324 9054 34892
2613 4700 77297
6719 3182 14333
888 7923 59372
1255 9534 83197
4255 8330 99434
4517 2466 29901
6710 5561 60002
6385 4365 61295
7219 4518 87508
5348 1591 80875
168 6420 42219
4599 3660 7799
9697 5767 57659
7387 9843 35865
10000 8241 13269
987 108 49883
2636 2111 10390
2431 6470 51260
8531 2826 91356
6868 6224 77636
3858 8242 58402
7987 7584 86288
6241 6404 95617
6951 1305 9938
7219 3427 55788
2072 7574 31617
1670 6285 63578
6638 4647 95101
939 1354 27748
5980 9575 29899
7500 1808 49623
9917 7884 89217
5217 9756 99021
1186 8516 83385
286 2558 45914
5668 1821 31477
2599 6986 67397
5634 6248 36434
6751 7138 9108
6329 2307 18829
5323 6060 29799
4595 226 27822
9013 3793 70840
6290 1432 11650
6054 2605 44827
1509 7988 4192
3624 4487 75510
7663 9115 70295
4047 172 49759
7206 9458 19007
3512 6319 23677
6587 6806 70106
6030 8036 28400
9169 6182 7896
7791 1837 28113
4355 7039 89951
1495 5675 82483
9326 2005 93722
4602 417 26406
4839 4143 14538
8780 6211 13524
5347 20 93100
7973 6403 75216
5101 8664 54826
7124 6217 43646
7073 9149 12387
4113 1763 21098
2657 4305 412
903 9139 52769
1655 6819 84790
6409 7140 62001
3064 5313 99366
6504 2924 22167
4141 4407 40850
2970 1757 69325
7781 6157 73225
5180 7334 11656
4825 1417 60691
1494 2507 65024
580 1887 69513
6987 7594 51873
5101 2617 89659
4416 3312 77884
1894 4451 43056
840 7411 14425
2939 4248 24032
6684 7380 93246
5278 5913 90212
7386 7222 91889
6487 4191 15724
8796 7167 72673
4626 5875 14275
